Altium Designer Pick and Place Locations
C:\Users\IEK\Desktop\Altium_Project\design_1\Project Outputs for burglar_alarm_system\Pick Place for bas_Pcb.csv

========================================================================================================================
File Design Information:

Date:       03.10.21
Time:       06:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"X2","ECS-160-20-30B-TR","TopLayer","ECS","1400.200","1431.300","90","CRYSTAL 16.0000MHZ 20PF SMD"
"R13","RC0603JR-07100RL","TopLayer","RES_0603","1958.500","757.300","90","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R4","RC0603JR-074K7L","TopLayer","RES_0603","1803.700","678.900","0","Res Thick Film 0603 4.7K Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"C50","CL21B105KBFNNNE","TopLayer","CAP_0805","1835.600","1820.400","0","SAMSUNG ELECTRO-MECHANICS - CL21B105KBFNNNE - SMD Multilayer Ceramic Capacitor, 1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, CL Series"
"X1","ABS05-32.768KHZ-T","TopLayer","ABS05","3103.800","956.600","90","ABRACON - ABS05-32.768KHZ-T - Crystal, 32.768 kHz, SMD, 1.6mm x 1mm, 12.5 pF, 20 ppm, ABS05 Series"
"USB1","10118192-0001LF","TopLayer","MICRO_USB_B","2921.019","171.098","0","CONN USB MICRO B RECPT SMT R/A"
"U9","USBLC6-2SC6","TopLayer","SOT23-6L","3095.600","533.400","270","TVS DIODE 5.25V 17V SOT23-6"
"U8","OPA314AIDBVR","TopLayer","SOT23-5","3609.900","240.400","180","Op Amp"
"U7","NCS36000DRG","TopLayer","SOIC14","4137.776","1030.900","0","Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"
"U6","LM2675MX-12/12VDC-5VDC","TopLayer","SOIC8","499.016","962.165","90","Buck Switching Regulator IC Positive Adjustable 1.21V 1 Output 1A 8-SOIC (0.154", 3.90mm Width)"
"U5","AP7361 - 33E - 13","TopLayer","SOT223","1585.000","1860.000","0","LDO Regulator Pos 3.3V 1A 4-Pin(3+Tab) SOT-223 T/R"
"U4","STM32F103C6T6A","TopLayer","LQFP48","2020.323","1098.732","270","MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"
"U2","M41T00M6F","TopLayer","SOIC8","3026.000","1145.000","0","IC RTC CLK/CALENDAR I2C 8-SOIC"
"U1","ESP32-WROOM32","TopLayer","ESP-32","1126.752","821.654","180","• ESP32-D0WD-V3 embedded, Xtensa® dual-core
32-bit LX6 microprocessor, up to 240 MHz
• 448 KB ROM for booting and core functions
• 520 KB SRAM for data and instructions
• 16 KB SRAM in RTC"
"T1","BV302S12010","TopLayer","BV302S","1298.150","2788.701","0","PWR XFMR LAMINATED 1VA TH"
"SW1","EG1215AA","TopLayer","EG1215AA","99.764","640.000","270","Slide Switch, SPDT, 0.025A, 24V, SMD"
"S1","LHI 878/3902","TopLayer","LHI_878","3724.500","628.200","0","Sensor PIR (Passive Infrared) - - TO-205AA, TO-5-3 Metal Can"
"RL2","ALQ112","TopLayer","ALQ112","2736.000","3137.000","90","PANASONIC - ALQ112 - POWER RELAY, SPDT, 12VDC, 10A, THD"
"RL1","ALQ112","TopLayer","ALQ112","2300.000","3135.000","90","PANASONIC - ALQ112 - POWER RELAY, SPDT, 12VDC, 10A, THD"
"R37","RC0603JR-07100RL","TopLayer","RES_0603","4406.200","581.400","180","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R36","RC0603FR-0710KL","TopLayer","RES_0603","4311.700","466.385","270","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R35","RC0603JR-07220KL","TopLayer","RES_0603","3846.900","146.000","0","YAGEO - RC0603JR-07220KL - Resistencia SMD de Tipo Chip, 0603 [Métrica 1608], 220 kohm, RC Series, 75 V, Película Gruesa"
"R34","RC0603JR-07220KL","TopLayer","RES_0603","3848.200","89.500","0","YAGEO - RC0603JR-07220KL - Resistencia SMD de Tipo Chip, 0603 [Métrica 1608], 220 kohm, RC Series, 75 V, Película Gruesa"
"R33","RC0603FR-0710KL","TopLayer","RES_0603","3692.715","147.400","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R32","RC0603FR-0710KL","TopLayer","RES_0603","3728.100","244.500","90","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R31","RC0603JR-07220KL","TopLayer","RES_0603","4421.415","858.100","0","YAGEO - RC0603JR-07220KL - Resistencia SMD de Tipo Chip, 0603 [Métrica 1608], 220 kohm, RC Series, 75 V, Película Gruesa"
"R30","RC0603JR-070RL","TopLayer","RES_0603","4427.200","1018.300","180","RES SMD 0 OHM JUMPER 1/10W 0603"
"R29","RC0603FR-0710KL","TopLayer","RES_0603","4421.500","923.300","0",""
"R28","RC0603JR-070RL","TopLayer","RES_0603","4428.200","1067.900","180","RES SMD 0 OHM JUMPER 1/10W 0603"
"R27","RC0603JR-0743KL","TopLayer","RES_0603","3759.600","928.200","0","Resistor;Resistance:43Kohm;Resistance Tolerance:± 5%;Resistor Element Material:Thick Film;Resistor Case Style:0603"
"R26","RC0603JR-07560KL","BottomLayer","RES_0603","4115.750","1136.100","0","RES SMD 560K OHM 5% 1/10W 0603"
"R25","RC0603FR-0710KL","BottomLayer","RES_0603","4115.749","1075.300","180","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R24","RC0603FR-0710KL","BottomLayer","RES_0603","4115.750","693.000","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R23","RC0603JR-07560KL","BottomLayer","RES_0603","4115.749","845.000","180","RES SMD 560K OHM 5% 1/10W 0603"
"R22","RC0603FR-0710KL","TopLayer","RES_0603","2201.915","2522.700","180","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R21","RC0603FR-0710KL","TopLayer","RES_0603","2782.000","2498.000","270","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R20","RC0603FR-0710KL","TopLayer","RES_0603","2289.000","2487.815","90","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R19","RC0603FR-0710KL","TopLayer","RES_0603","2694.000","2527.200","0","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"
"R18","5WD27","TopLayer","RES_5WD27","1035.000","3615.000","0","RESISTOR 5 WATT CERMET WIREWOUND FLAMEPROOF .27 OHM 5% AXIAL LEAD"
"R17","RC0603JR-074K7L","TopLayer","RES_0603","3049.500","1499.385","90","Res Thick Film 0603 4.7K Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R16","RC0603JR-074K7L","TopLayer","RES_0603","3115.900","1498.685","90","Res Thick Film 0603 4.7K Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R15","RC0603JR-07100RL","TopLayer","RES_0603","535.000","212.000","0","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R14","RC0603JR-07100RL","TopLayer","RES_0603","2355.700","810.600","90","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R12","RC0603JR-07100RL","TopLayer","RES_0603","1908.800","758.000","90","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R11","RC0603JR-0715RL","TopLayer","RES_0603","2322.915","1150.400","0","YAGEO - RC0603JR-0715RL - SMD Chip Resistor, 0603 [1608 Metric], 15 ohm, RC Series, 75 V, Thick Film, 100 mW"
"R10","RC0603JR-0715RL","TopLayer","RES_0603","2324.715","1101.700","0","YAGEO - RC0603JR-0715RL - SMD Chip Resistor, 0603 [1608 Metric], 15 ohm, RC Series, 75 V, Thick Film, 100 mW"
"R9","RC0603JR-07100RL","TopLayer","RES_0603","2015.500","757.200","90","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R8","RC0603JR-07100RL","TopLayer","RES_0603","1503.900","1431.900","270","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R7","RC0603JR-07100RL","TopLayer","RES_0603","1597.900","1050.800","270","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R6","RC0603JR-07100RL","TopLayer","RES_0603","2304.200","808.900","270","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R5","RC0603JR-07100RL","TopLayer","RES_0603","1702.900","432.300","270","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R3","RC0603JR-07100RL","TopLayer","RES_0603","535.000","269.000","180","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R2","RC0603JR-07100RL","TopLayer","RES_0603","280.000","662.000","180","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"R1","RC0603JR-07100RL","TopLayer","RES_0603","281.000","615.000","180","Res Thick Film 0603 100 Ohm 5% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R"
"Q5","MMBT3904-7-F","TopLayer","SOT23-F","4414.000","470.600","0","TRANS NPN 40V 0.2A SMD SOT23-3"
"Q4","MMBT3904-7-F","TopLayer","SOT23-F","2820.000","2630.000","0","TRANS NPN 40V 0.2A SMD SOT23-3"
"Q3","MMBT3904-7-F","TopLayer","SOT23-F","2327.401","2627.205","0","TRANS NPN 40V 0.2A SMD SOT23-3"
"Q2","MMBT3904-7-F","TopLayer","SOT23-F","1672.000","644.000","180","TRANS NPN 40V 0.2A SMD SOT23-3"
"Q1","MMBT3904-7-F","TopLayer","SOT23-F","530.000","360.000","90","TRANS NPN 40V 0.2A SMD SOT23-3"
"P2","PJ-037AH-SMT-TR","TopLayer","JACK","2298.937","346.378","90","DC Power Connectors Power Jacks"
"P1","PJ-037AH-SMT-TR","TopLayer","JACK","358.819","1880.000","0","DC Power Connectors Power Jacks"
"LS1","CMI-9605IC-0580T","TopLayer","CMI-9605IC-0580T","250.000","265.000","0","Buzzers Indicator, Internally Driven Magnetic 5 V 30mA 2.7kHz 80dB @ 5V, 10cm Through Hole PC Pins"
"LED2","LH R974-LP-1","TopLayer","LED_RED_0805","4118.600","551.700","0","LED Uni-Color Red 660nm T/R"
"LED1","LTST-C171GKT","TopLayer","LED_GREEN_0805","4118.600","738.100","0","Green 0805 130 º Min 5 mcd Typical 12 mcd Water Clear Lens SMT LED"
"L1","78438335470","TopLayer","IND_1212","501.339","670.000","0","FIXED IND 47UH 390MA 2.3 OHM SMD"
"J6","64800611622","TopLayer","64800611622","3435.500","1030.572","270",""
"J5","64800611622","TopLayer","64800611622","2552.638","2218.000","0",""
"J4","SMH-105-02-L-S","TopLayer","PINHEADER1X5_RA","2305.000","1865.000","90",".100 C.L. HORIZONTAL SMT SOCKET"
"J3","TBP01R1-508-02BE","TopLayer","TBP01R1-508","235.000","3610.000","270","Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"
"J2","TBP01R1-508-02BE","TopLayer","TBP01R1-508","2540.000","3690.000","180","Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"
